,N_customers,vaccination_prop,len_shoplist,basic_compliance,vision,run,n_problematic_contacts,n_problematic_contacts_mean,n_problematic_contacts_mean_100
329,63,0.66552734375,7,0.24462890625,5,329,0,1.8882235528942115,2.0997506234413965
330,105,0.66552734375,7,0.24462890625,5,330,6,4.820359281437126,4.892768079800499
331,63,0.39013671875,7,0.24462890625,5,331,3,5.37125748502994,5.58852867830424
332,63,0.66552734375,7,0.24462890625,5,332,0,1.215568862275449,1.2119700748129676
333,63,0.66552734375,7,0.22021484375,5,333,1,1.5748502994011977,1.6359102244389028
334,63,0.66552734375,7,0.24462890625,5,334,9,1.313373253493014,1.5211970074812968
335,105,0.39013671875,7,0.22021484375,5,335,20,15.071856287425149,15.129675810473815
336,46,0.04052734375,4,0.11962890625,5,336,6,5.285429141716567,5.157107231920199
337,122,0.04052734375,4,0.11962890625,5,337,58,43.78243512974052,43.96009975062344
338,46,0.76513671875,4,0.11962890625,5,338,1,0.20159680638722555,0.06483790523690773
339,46,0.04052734375,15,0.11962890625,5,339,5,5.041916167664671,5.443890274314215
340,46,0.04052734375,4,0.59521484375,5,340,1,3.2974051896207586,2.885286783042394
341,46,0.04052734375,4,0.11962890625,4,341,3,5.299401197604791,5.219451371571072
342,122,0.76513671875,15,0.59521484375,4,342,1,2.311377245508982,2.456359102244389
343,116,0.54052734375,14,0.61962890625,3,343,7,7.1177644710578845,7.546134663341646
344,52,0.54052734375,14,0.61962890625,3,344,0,1.3313373253493015,1.5586034912718205
345,116,0.26513671875,14,0.61962890625,3,345,11,18.177644710578843,17.877805486284288
346,116,0.54052734375,5,0.61962890625,3,346,7,7.94810379241517,8.793017456359102
347,116,0.54052734375,14,0.09521484375,3,347,15,10.107784431137725,10.022443890274314
348,116,0.54052734375,14,0.61962890625,6,348,11,8.259481037924152,9.256857855361597
349,52,0.26513671875,5,0.09521484375,6,349,2,4.812375249500998,4.745635910224439
350,81,0.29052734375,9,0.36962890625,4,350,12,10.109780439121757,9.618453865336658
351,17,0.29052734375,9,0.36962890625,4,351,0,0.18363273453093812,0.19950124688279303
352,81,0.51513671875,9,0.36962890625,4,352,4,4.550898203592815,4.912718204488778
353,81,0.29052734375,0,0.36962890625,4,353,27,31.163672654690618,32.19950124688279
354,81,0.29052734375,9,0.34521484375,4,354,5,8.686626746506986,8.523690773067331
355,81,0.29052734375,9,0.36962890625,5,355,10,8.736526946107784,8.613466334164588
356,17,0.51513671875,0,0.34521484375,5,356,2,2.2954091816367264,2.708229426433915
357,11,0.79052734375,19,0.86962890625,6,357,0,0.00998003992015968,0.007481296758104738
358,87,0.79052734375,19,0.86962890625,6,358,1,0.656686626746507,0.6433915211970075
359,11,0.01513671875,19,0.86962890625,6,359,0,0.13373253493013973,0.06483790523690773
360,11,0.79052734375,10,0.86962890625,6,360,0,0.003992015968063872,0.0
361,11,0.79052734375,19,0.84521484375,6,361,0,0.003992015968063872,0.004987531172069825
362,11,0.79052734375,19,0.86962890625,3,362,0,0.0,0.0
363,87,0.01513671875,10,0.84521484375,3,363,14,9.540918163672655,9.488778054862843
364,11,0.20849609375,4,0.30322265625,4,364,0,0.11776447105788423,0.11471321695760599
365,74,0.20849609375,4,0.30322265625,4,365,8,8.169660678642714,7.658354114713217
366,11,0.87841796875,4,0.30322265625,4,366,0,0.0,0.0
367,11,0.20849609375,13,0.30322265625,4,367,0,0.1536926147704591,0.14463840399002495
368,11,0.20849609375,4,0.66162109375,4,368,0,0.013972055888223553,0.0024937655860349127
369,11,0.20849609375,4,0.30322265625,4,369,0,0.031936127744510975,0.0199501246882793
370,74,0.87841796875,13,0.66162109375,4,370,0,0.08383233532934131,0.0773067331670823
371,81,0.70849609375,14,0.80322265625,6,371,9,1.620758483033932,1.713216957605985
372,144,0.70849609375,14,0.80322265625,6,372,6,6.542914171656687,6.28927680798005
373,81,0.37841796875,14,0.80322265625,6,373,2,4.634730538922156,4.970074812967581
374,81,0.70849609375,3,0.80322265625,6,374,0,1.6187624750499001,1.660847880299252
375,81,0.70849609375,14,0.16162109375,6,375,2,1.8303393213572854,1.940149625935162
